feature,shap_win_mean,shap_loss_mean,shap_diff_mean,u_stat,p_value,bh_significant,abs_diff
log_quote_volume_rolling_mean_1,0.01243879078551067,0.014403558776456049,-0.0019647679909453788,6281097.0,1.556693152500959e-06,True,0.0019647679909453788
close_to_vwap_rolling_mean_4,0.0043510133767280445,0.002411816967096586,0.0019391964096314583,7959204.0,2.3869460028149252e-42,True,0.0019391964096314583
garman_klass_var_rolling_mean_2,0.007697851367909209,0.009595974661362588,-0.0018981232934533795,5650392.0,8.435479642420069e-32,True,0.0018981232934533795
range_hl_rolling_mean_8,0.0063308061658833015,0.00821258655246998,-0.001881780386586679,6011662.5,8.17893328486806e-15,True,0.001881780386586679
imbalance_rolling_max_1,0.0009279729308665556,-0.0008846005391478836,0.0018125734700144393,10985924.0,0.0,True,0.0018125734700144393
range_hl_rolling_mean_12,0.0055287854459453705,0.007264491885262619,-0.0017357064393172484,5936335.0,8.5029652464065e-18,True,0.0017357064393172484
parkinson_var_rolling_min_8,0.004352252105306487,0.006069186871055842,-0.0017169347657493552,5898366.0,2.0633420473769385e-19,True,0.0017169347657493552
range_pct_rolling_min_4,0.0032792562624387855,0.00499560488669169,-0.001716348624252905,5544278.0,4.43633790071631e-38,True,0.001716348624252905
open_position,0.0011379450560949332,-0.0005491923180996176,0.0016871373741945508,10114101.0,8.01524717146911e-305,True,0.0016871373741945508
close_to_vwap_rolling_max_1,0.0021498352046492326,0.000470155758381946,0.0016796794462672865,8322217.0,1.525124838089726e-69,True,0.0016796794462672865
garman_klass_var_rolling_mean_1,0.00996918750992405,0.01162781929378395,-0.0016586317838598996,5805658.5,1.1404866774759029e-23,True,0.0016586317838598996
range_pct_rolling_max_2,0.009106855298055752,0.010763821801741262,-0.0016569665036855093,4976997.5,1.2842910784417387e-81,True,0.0016569665036855093
log_quote_volume_rolling_max_1,0.017540767247664058,0.01919408267206918,-0.0016533154244051211,6037989.0,7.693396971528477e-14,True,0.0016533154244051211
range_hl_rolling_min_4,0.004424378872320655,0.006003454845200765,-0.0015790759728801108,5873238.0,1.601997946267367e-20,True,0.0015790759728801108
range_pct_rolling_mean_12,0.006342740480402786,0.007897201450295953,-0.0015544609698931672,6152433.5,5.042740926905888e-10,True,0.0015544609698931672
log_trades,0.0158447489375775,0.01738879193431748,-0.0015440429967399812,4167659.5,7.100453654902999e-173,True,0.0015440429967399812
range_pct_rolling_min_2,0.006211935152511503,0.007732855538049698,-0.0015209203855381954,5780271.5,6.506907820499873e-25,True,0.0015209203855381954
abs_return_rolling_mean_1,0.004625417061342746,0.0061318300074465985,-0.0015064129461038528,6020667.0,1.776905051224738e-14,True,0.0015064129461038528
true_range,0.015048636810867745,0.01653413318460294,-0.001485496373735195,6558668.0,0.07952639533432125,False,0.001485496373735195
range_pct_rolling_min_1,0.014467499708168772,0.015941718867055893,-0.001474219158887121,6395163.0,0.00038481503822966384,True,0.001474219158887121
log_volume_rolling_min_4,-0.002827594704169169,-0.0013728056422799449,-0.001454789061889224,6286003.0,2.0351515943619312e-06,True,0.001454789061889224
parkinson_var_rolling_mean_2,0.014381047625249272,0.015802509779461675,-0.0014214621542124033,6496845.0,0.014980643654770193,False,0.0014214621542124033
log_quote_volume,0.009581224999834638,0.010982485967166807,-0.0014012609673321689,5911899.5,7.921069992200337e-19,True,0.0014012609673321689
garman_klass_var_rolling_min_1,0.009782179899913302,0.011175237459695921,-0.0013930575597826192,6385334.0,0.0002538931220019248,True,0.0013930575597826192
imbalance,0.0009359375971645212,-0.0004461983566651681,0.0013821359538296893,9710959.5,2.951313903011381e-237,True,0.0013821359538296893
range_pct_rolling_max_1,0.0110766685937711,0.012424814238611028,-0.0013481456448399282,6367160.0,0.00011430722044117268,True,0.0013481456448399282
range_pct_rolling_min_12,0.005076273629851498,0.006414072045626743,-0.0013377984157752444,6023973.5,2.3569231542844248e-14,True,0.0013377984157752444
parkinson_var_rolling_mean_24,0.002128366787625289,0.0034308171625600462,-0.0013024503749347574,6398005.0,0.0004330914059602884,True,0.0013024503749347574
range_x_log_volume,0.003872832542328682,0.005163368909411315,-0.001290536367082633,6003474.5,4.005422648412553e-15,True,0.001290536367082633
parkinson_var_rolling_mean_12,0.0026660449951977096,0.00392681555866502,-0.0012607705634673102,5883479.5,4.5812416886279115e-20,True,0.0012607705634673102
log_low,0.0004172947931525966,0.0015915925466006334,-0.0011742977534480367,2310304.5,0.0,True,0.0011742977534480367
garman_klass_var_rolling_mean_12,0.0064212637467441986,0.007582908678656353,-0.001161644931912154,7006382.0,0.0015417038676405746,True,0.001161644931912154
buy_ratio_quote,0.0008706243595757533,-0.0002900071607341323,0.0011606315203098855,9283611.0,7.234292263241427e-175,True,0.0011606315203098855
range_hl_rolling_max_2,0.01051601851170036,0.011675363646840737,-0.0011593451351403772,6082458.0,2.8129290902815843e-12,True,0.0011593451351403772
range_hl_rolling_min_12,0.006389437381996118,0.007516553597340164,-0.0011271162153440456,6390519.5,0.00031661239786064853,True,0.0011271162153440456
range_hl_rolling_min_8,0.005266687925566281,0.006383250061158784,-0.0011165621355925031,6079650.0,2.2567034857573028e-12,True,0.0011165621355925031
