feature,importance
imbalance_rolling_min_48,0.035162896291884405
illiq_rolling_mean_1,0.03498179431578399
log_volume_rolling_ptp_48,0.034513172555037705
log_volume_expanding_var,0.03437713973729952
log_volume_rolling_iqr_96,0.03381944081057404
parkinson_var_rolling_max_96,0.033283514035778776
return_rolling_var_4,0.03312665337630475
return_rolling_max_48,0.03275912820706656
return_expanding_skew,0.032594806794752906
log_volume_rolling_var_48,0.03256841329547306
imbalance_rolling_ptp_8,0.032561105058824945
log_quote_volume_rolling_mean_48,0.032250722305789924
log_volume_rolling_ptp_8,0.03138985122538193
close_to_vwap_rolling_ptp_24,0.031252659101676926
buy_ratio_rolling_var_2,0.030479229198511554
log_quote_volume_rolling_ptp_24,0.030102764864270076
log_volume_rolling_ptp_4,0.03003374711209011
abs_return_rolling_ptp_2,0.02961126506593044
range_hl_rolling_var_2,0.02887681836352913
buy_ratio_rolling_ptp_8,0.028639942734636124
illiq_expanding_var,0.028532316357238637
close_to_vwap_rolling_ptp_96,0.028469182293676475
vwap_log,0.028412084792488867
illiq_rolling_min_96,0.02801702171251064
range_hl_rolling_max_48,0.02799908221244553
squared_return_rolling_min_12,0.027902635015125646
return_lag_2,0.027834613093521563
illiq_rolling_ptp_8,0.027695462133739246
buy_ratio_rolling_var_48,0.027582775371416707
close_to_vwap_rolling_max_96,0.027403358172686913
imbalance_rolling_min_12,0.027314249088051815
buy_ratio_rolling_iqr_8,0.027052894049071147
illiq_rolling_max_96,0.027013471942810327
imbalance_lag_10,0.026703801768848227
illiq_rolling_iqr_2,0.026482538132330834
abs_return_rolling_min_4,0.026176538051241
range_pct_rolling_iqr_8,0.026085209482282764
imbalance_rolling_min_4,0.02608517836198549
buy_ratio_rolling_mean_8,0.025652542948683604
illiq_rolling_min_48,0.0256446234102883
illiq_expanding_mean,0.025603553559619484
squared_return_rolling_min_8,0.02559089702242542
close_to_vwap_rolling_iqr_12,0.025297901832617826
parkinson_var_rolling_ptp_96,0.02497760192746751
imbalance_rolling_var_96,0.024842253177499357
illiq_rolling_max_12,0.024611516699377743
log_volume_rolling_iqr_2,0.02441604013659558
abs_return_rolling_min_8,0.023678810897122683
buy_ratio_rolling_max_96,0.02362880898861378
imbalance_rolling_min_96,0.023553154101469357
buy_ratio_rolling_mean_24,0.02352937839233524
close_to_vwap_lag_1,0.023236476029228154
return_expanding_var,0.02313320370776447
illiq_rolling_var_96,0.022994641712506647
log_volume_rolling_var_2,0.022525349174531025
imbalance_lag_5,0.022096476265390484
range_hl_rolling_iqr_24,0.021998552490650438
imbalance_rolling_ptp_2,0.02179827894399169
range_pct_rolling_ptp_48,0.021617344733599872
return_lag_10,0.02141916185654214
range_pct_rolling_ptp_8,0.021295343627166164
squared_return_rolling_min_96,0.021289611047881355
imbalance_rolling_max_12,0.021225338468165385
log_quote_volume_rolling_var_96,0.021209909328289023
return_lag_3,0.02110288087996533
range_hl_rolling_iqr_2,0.020825636714953924
close_to_vwap_rolling_max_4,0.02020592477591788
illiq_rolling_max_1,0.020151227368989787
return_rolling_iqr_48,0.02005003761752461
illiq_rolling_var_2,0.01995525730324932
abs_return_rolling_iqr_12,0.01921204866682606
buy_ratio_rolling_min_2,0.019169683770573744
log_quote_volume_expanding_mean,0.01909159476634899
range_pct_rolling_min_48,0.0190834878015379
parkinson_var_rolling_mean_48,0.018413272979428894
return_rolling_iqr_4,0.018207125695982127
range_hl_lag_5,0.017958842531485678
illiq_rolling_ptp_48,0.017909802651094178
close_to_vwap_lag_2,0.01770982582173673
log_volume_rolling_ptp_24,0.017587092475581954
squared_return_rolling_ptp_48,0.017498051394615657
imbalance_lag_3,0.017497514509566475
illiq_rolling_ptp_4,0.017441352090345346
log_quote_volume_expanding_skew,0.016977595906128882
